Agg_Col|TFIDF_SCORE
01/01/2013|16.284253965004467
01/01/2015|5.357427753196117
01/01/2016|33.38364804198561
01/01/2019|7.679361080636168
01/02/2010|4.6705341654689025
01/02/2011|33.617333842313016
01/02/2012|15.684688019980234
01/02/2013|30.803687445303673
01/02/2016|125.69639453283592
01/02/2017|70.99502202031734
01/02/2018|36.301495074419904
01/02/2019|86.33455538668798
01/03/2011|22.618124037937854
01/03/2012|39.67562562348771
01/03/2013|20.320844577253894
01/03/2016|62.437135604959316
01/03/2017|55.72827974508487
01/03/2018|32.66847925926602
01/03/2019|58.13275363898727
01/04/2010|5.314817701158883
01/04/2011|13.705079018115011
01/04/2013|18.357933881465733
01/04/2015|25.15554569259632
01/04/2016|91.12273846162823
01/04/2019|56.62113777666764
01/05/2012|5.123607352230889
01/05/2013|4.781198466642385
01/05/2014|4.985266038028712
01/05/2015|9.647635766726296
01/05/2017|14.990394032295079
01/05/2018|24.423909541869143
01/05/2019|56.2267060064296
01/06/2010|5.16120173589953
01/06/2011|16.633951623351642
01/06/2012|34.362988864569914
01/06/2015|41.78375651299343
01/06/2016|59.32036052665089
01/06/2017|59.426510960285185
01/06/2018|31.200168618618676
01/07/2011|16.988593659311682
01/07/2013|11.905704316013814
01/07/2014|3.88546618421117
01/07/2015|21.907225250418747
01/07/2016|60.94727486125226
01/07/2019|32.216901813178694
01/08/2011|13.188298599251148
01/08/2012|17.72113203193576
01/08/2013|16.314667174748546
01/08/2016|76.52872907108134
01/08/2017|40.496663353290266
01/08/2018|29.059166044312484
01/08/2019|39.36943926414235
01/09/2014|10.162351108316678
01/09/2015|31.37303436160839
01/09/2016|74.46846567681922
01/09/2017|56.47855268830361
01/10/2012|23.839894642751986
01/10/2013|32.77352728944678
01/10/2014|5.229273655279236
01/10/2015|17.39360253226488
01/10/2018|56.76740183877951
01/10/2019|36.73715793845897
01/11/2011|22.317729169425032
01/11/2012|3.842686460469105
01/11/2013|22.40738855293805
01/11/2016|40.28336366955096
01/11/2017|47.13815535120336
01/11/2018|45.68057920385138
01/11/2019|58.87841068657535
01/12/2010|10.40756225061204
01/12/2011|17.560030851872476
01/12/2014|35.8673383389076
01/12/2015|29.695082054153104
01/12/2016|106.06261813500036
01/12/2017|69.83767589903987
02/01/2012|9.863505536332639
02/01/2013|22.714418730192676
02/01/2014|10.547597246977821
02/01/2015|7.662394361472841
02/01/2017|9.343289325257023
02/01/2018|13.784712976745475
02/01/2019|38.422280229199124
02/02/2011|29.847269691274636
02/02/2012|16.11952119140926
02/02/2015|12.839947440568748
02/02/2016|133.28203038045706
02/02/2017|25.556869009802995
02/02/2018|60.67909167426305
02/03/2010|4.702065730200214
02/03/2011|5.5234968127278075
02/03/2012|31.289921989701675
02/03/2015|8.244773626940852
02/03/2016|77.94455891403882
02/03/2017|37.728239528622375
02/03/2018|41.634270491874986
02/04/2012|34.06223065807953
02/04/2013|22.47914860665218
02/04/2014|4.157955860816576
02/04/2015|8.87841903571893
02/04/2018|34.206346675918454
02/04/2019|35.40721830257699
02/05/2011|11.29745572921859
02/05/2012|11.167972837135355
02/05/2013|12.816502291126579
02/05/2014|5.447958167152179
02/05/2016|38.54701537030128
02/05/2017|45.782930185295776
02/05/2018|40.52741061090298
02/05/2019|53.46856949761368
02/06/2011|9.291945214577204
02/06/2015|14.342186329958029
02/06/2016|93.6912918859962
02/06/2017|76.63467065331517
02/07/2010|5.928072797519823
02/07/2012|28.831089289372002
02/07/2013|20.599891140018634
02/07/2014|3.9189187868796855
02/07/2015|11.809135550905937
02/07/2018|54.5046222992634
02/07/2019|28.14951946749907
02/08/2011|24.186035952621708
02/08/2012|30.85552641292326
02/08/2013|21.521750076057266
02/08/2016|74.77964397721772
02/08/2017|47.11550457211565
02/08/2018|28.401056192048454
02/08/2019|50.408645898074305
02/09/2011|34.2096744371501
02/09/2013|21.20625944343411
02/09/2014|15.385097929026191
02/09/2015|21.834006256670342
02/09/2016|77.08235596375134
02/09/2019|20.45509977145809
02/10/2012|4.887263789974027
02/10/2013|12.957290832488411
02/10/2015|25.755676874421454
02/10/2017|44.904964299759506
02/10/2018|54.230678484307184
02/10/2019|36.82405518608182
02/11/2010|4.463294006027202
02/11/2011|22.687030209472113
02/11/2012|14.91563149173739
02/11/2015|17.1247194718786
02/11/2016|52.645835104944524
02/11/2017|36.0312845088691
02/11/2018|69.56435520511003
02/12/2009|5.127889330547647
02/12/2010|4.595298775869019
02/12/2011|18.200892445256812
02/12/2013|13.147991759550742
02/12/2014|22.93597565757355
02/12/2015|25.841326786835197
02/12/2016|54.303195120120805
03/01/2011|5.237606609512246
03/01/2012|40.76959774351287
03/01/2013|16.090726678606124
03/01/2014|22.807602901523087
03/01/2017|41.837337345420906
03/01/2018|39.731186302512754
03/01/2019|34.21214154013256
03/02/2011|28.78093403623853
03/02/2012|15.773652118295026
03/02/2014|16.439831205375746
03/02/2015|22.216774022294953
03/02/2016|57.978273549969416
03/02/2017|71.65492725901748
03/03/2011|14.345851649779021
03/03/2014|10.469211263354929
03/03/2015|25.863173805432822
03/03/2016|71.56494936863665
03/03/2017|41.20648406110252
03/04/2012|17.66246760883421
03/04/2013|19.075734365180296
03/04/2014|4.310692963590072
03/04/2015|5.009359203631317
03/04/2017|73.75986146000821
03/04/2018|18.17575614029916
03/04/2019|48.28462352988074
03/05/2010|5.131970428118306
03/05/2011|13.562273906348278
03/05/2012|29.423398541644424
03/05/2013|16.340449044990887
03/05/2016|56.84529202155995
03/05/2017|56.05807573177551
03/05/2018|16.539528410671277
