|DocCount|IDF
poland|6|7.952028704550398
regulator|9|7.546563596442233
slap|6|7.952028704550398
fine|4|8.357493812658563
engie|7|7.79787802472314
nordstream|1|9.743788173778453
banker|5|8.134350261344352
dangle|1|9.743788173778453
prospect|41|6.030216107074145
bonus|2|9.050640993218508
payouts|4|8.357493812658563
technology|16|6.971199451538672
stay|52|5.792544455197026
competitive|1|9.743788173778453
brazil|40|6.054908719664517
blockbuster|2|9.050640993218508
auction|27|6.447951307774124
fall|862|2.98453290311476
flat|24|6.565734343430507
rosneft|75|5.426300060242142
return|63|5.600653447386921
growth|188|4.507346210948504
europe|55|5.736454988545982
pipeline|143|4.7809435435185454
closure|2|9.050640993218508
chesapeake|3|8.645175885110344
raise|107|5.070959339316547
doubt|44|5.959598539860192
ability|4|8.357493812658563
survive|15|7.035737972676243
prepares|8|7.664346632098617
deep|9|7.546563596442233
bonanza|9|7.546563596442233
shale|405|3.7399011066719137
swamp|2|9.050640993218508
five|44|5.959598539860192
year|400|3.752323626670471
climate|56|5.718436483043304
reshape|2|9.050640993218508
geopolitics|6|7.952028704550398
capital|38|6.106202014052068
spending|46|5.915146777289358
debt|113|5.0164003550661125
wall|35|6.188440112289039
st|15|7.035737972676243
bank|69|5.509681669181194
give|40|6.054908719664517
vast|3|8.645175885110344
range|223|4.3366164023183345
halt|32|6.278052270978726
uk|119|4.964664680666924
fracking|75|5.426300060242142
step|30|6.342590792116297
greener|4|8.357493812658563
future|908|2.9325437951771596
tale|3|8.645175885110344
adnoc|7|7.79787802472314
target|176|4.573304178740301
regional|6|7.952028704550398
benchmark|16|6.971199451538672
murban|1|9.743788173778453
company|129|4.8839757694167805
slide|165|4.637842699877872
following|27|6.447951307774124
government|32|6.278052270978726
ban|39|6.080226527648807
electioneering|1|9.743788173778453
or|40|6.054908719664517
geology|3|8.645175885110344
long|61|5.632914309605142
awaited|9|7.546563596442233
sweetens|3|8.645175885110344
term|65|5.569400903882816
win|39|6.080226527648807
turn|92|5.221999596729413
highlight|9|7.546563596442233
risk|126|4.907506266826975
politicising|1|9.743788173778453
report|287|4.084305958018832
earthquake|3|8.645175885110344
fear|207|4.411069380513084
pinpoint|1|9.743788173778453
greek|32|6.278052270978726
tanker|82|5.3370689265142
probe|12|7.2588815239904525
huge|41|6.030216107074145
leak|5|8.134350261344352
jump|156|4.693932166528916
more|237|4.275728032643322
than|186|4.518041500065252
3|165|4.637842699877872
per|51|5.811962541054127
cent|7|7.79787802472314
trade|1322|2.5568871533668216
optimism|49|5.851967875667826
exxonmobil|40|6.054908719664517
would|20|6.748055900224462
lift|50|5.831765168350307
arabia|264|4.167839070632137
put|41|6.030216107074145
faith|10|7.441203080784407
reform|26|6.485691635756971
canadian|64|5.584905090418781
producer|175|4.579002199854939
encana|2|9.050640993218508
decamps|1|9.743788173778453
shell|159|4.674883971558222
weakness|20|6.748055900224462
threatens|43|5.9825880580848905
unaoil|2|9.050640993218508
executive|20|6.748055900224462
plead|2|9.050640993218508
guilty|5|8.134350261344352
bribery|9|7.546563596442233
denmark|1|9.743788173778453
light|17|6.910574829722237
germany|10|7.441203080784407
link|10|7.441203080784407
norway|70|5.495292931729094
fund|108|5.061656946654233
head|61|5.632914309605142
yngve|1|9.743788173778453
slyngstad|1|9.743788173778453
quits|7|7.79787802472314
total|59|5.666250729872734
low|442|3.652478291700755
even|26|6.485691635756971
production|569|3.399907739652122
soar|60|5.649443611556352
bp|153|4.713350252386018
incoming|2|9.050640993218508
accuses|9|7.546563596442233
official|13|7.178838816316916
hypocrisy|2|9.050640993218508
november|48|5.872587162870563
steep|11|7.345892900980083
drop|403|3.74485161183177
third|47|5.893640572068395
quarter|40|6.054908719664517
earnings|44|5.959598539860192
why|202|4.435520476377248
atlantic|6|7.952028704550398
region|10|7.441203080784407
key|44|5.959598539860192
colombia|14|7.1047308441631944
eye|138|4.816534488621248
swifter|1|9.743788173778453
shift|36|6.160269235322343
china|490|3.549382782673781
pull|29|6.376492343791979
tough|19|6.799349194612013
ethanol|10|7.441203080784407
content|1|9.743788173778453
standard|6|7.952028704550398
riyadh|10|7.441203080784407
struggle|53|5.773496260226331
close|74|5.439723080574283
gap|21|6.69926573605503
pemex|36|6.160269235322343
fourth|13|7.178838816316916
straight|40|6.054908719664517
quarterly|11|7.345892900980083
loss|218|4.3592931109893645
output|589|3.3653619901268663
rise|663|3.2470131835925904
sasols|1|9.743788173778453
joint|8|7.664346632098617
chief|90|5.243978503448188
depart|2|9.050640993218508
dollar13bn|10|7.441203080784407
debacle|2|9.050640993218508
imf|26|6.485691635756971
revise|5|8.134350261344352
gulf|101|5.128667656937194
need|78|5.387079347088862
private|15|7.035737972676243
sector|90|5.243978503448188
trudeaus|2|9.050640993218508
spark|16|6.971199451538672
wexit|1|9.743788173778453
talk|147|4.753355586999716
canada|94|5.2004933915084495
west|20|6.748055900224462
opposition|8|7.664346632098617
reprieve|5|8.134350261344352
citgo|3|8.645175885110344
export|247|4.234399837150476
contract|29|6.376492343791979
euro|54|5.754804127214179
equinor|9|7.546563596442233
starve|1|9.743788173778453
drillers|36|6.160269235322343
look|126|4.907506266826975
translate|2|9.050640993218508
warm|1|9.743788173778453
welcome|10|7.441203080784407
cold|13|7.178838816316916
cash|27|6.447951307774124
claim|36|6.160269235322343
central|13|7.178838816316916
survival|10|7.441203080784407
maduro|13|7.178838816316916
